landmark,landmark_days,window,window_days,n,cif_urethral_cancer_death,cif_other_cause_death,event_free_survival,cif_urethral_cancer_death_percent,cif_other_cause_death_percent,event_free_survival_percent,cif_urethral_cancer_death_ci95_lower_percent,cif_urethral_cancer_death_ci95_upper_percent,cif_other_cause_death_ci95_lower_percent,cif_other_cause_death_ci95_upper_percent
Diagnosis,0,1 year,365,2638,0.15903760514853305,0.07968311783056581,0.7612792770208997,15.9,7.97,76.13,14.58,17.36,6.93,9.0
Diagnosis,0,3 years,1095,2638,0.3351481631971719,0.1739018165956261,0.4909500202072013,33.51,17.39,49.1,31.74,35.44,15.83,18.89
Diagnosis,0,5 years,1826,2638,0.40468364886781666,0.2253250520408552,0.36999129909132733,40.47,22.53,37.0,38.4,42.45,20.8,24.3
1-year survivor,365,1 year,365,1902,0.15390576212478596,0.07392821106108528,0.7721660268141283,15.39,7.39,77.22,13.84,16.98,6.17,8.64
1-year survivor,365,3 years,1095,1902,0.28536059635612326,0.15995306346250532,0.5546863401813699,28.54,16.0,55.47,26.27,30.7,14.27,17.72
1-year survivor,365,5 years,1826,1902,0.34216940221024217,0.21574337809823352,0.44208721969152215,34.22,21.57,44.21,31.97,36.42,19.65,23.45
3-year survivor,1095,1 year,365,1068,0.08377339595229209,0.05611620859762195,0.8601103954500853,8.38,5.61,86.01,6.79,10.08,4.27,7.02
3-year survivor,1095,3 years,1095,1068,0.1718625391827828,0.14149671074709894,0.6866407500701175,17.19,14.15,68.66,14.88,19.37,11.91,16.42
3-year survivor,1095,5 years,1826,1068,0.2183452735673101,0.22693479757100288,0.5547199288616868,21.83,22.69,55.47,19.37,24.5,20.17,25.52
5-year survivor,1826,1 year,365,720,0.04011021732254373,0.05026882722933935,0.9096209554481172,4.01,5.03,90.96,2.58,5.42,3.45,6.73
5-year survivor,1826,3 years,1095,720,0.10178923367080842,0.162140050739853,0.7360707155893387,10.18,16.21,73.61,8.14,12.46,13.41,19.07
5-year survivor,1826,5 years,1826,720,0.1333437795282215,0.2354132641526236,0.6312429563191547,13.33,23.54,63.12,10.78,16.09,20.16,27.19
