final_number,reference,status,notes
1,"Swartz, M.A.; Porter, M.P.; Lin, D.W.; Weiss, N.S. Incidence of primary urethral carcinoma in the United States. Urology 2006, 68, 1164–1168. https://doi.org/10.1016/j.urology.2006.08.1057.",retained,
2,"Wenzel, M.; Nocera, L.; Collà Ruvolo, C.; et al. Incidence rates and contemporary trends in primary urethral cancer. Cancer Causes Control 2021, 32, 627–634. https://doi.org/10.1007/s10552-021-01416-2.",retained,
3,"Wnętrzak, I.; Wojciechowska, U.; Didkowska, J.A.; Dobruch, J.; Czajkowski, M.; Sosnowski, R. Epidemiology of primary urethral cancer: insights from four European countries with a focus on Poland. Cancers 2026, 18, 290. https://doi.org/10.3390/cancers18020290.",retained,
4,"Wenzel, M.; Collà Ruvolo, C.; Würnschimmel, C.; et al. Epidemiology of unconventional histological subtypes of urethral cancer. Urol Int 2023, 107, 15–22. https://doi.org/10.1159/000525673.",retained,Corrected publication metadata
5,"Gakis, G.; Bruins, H.M.; Cathomas, R.; et al. European Association of Urology Guidelines on Primary Urethral Carcinoma—2020 Update. Eur Urol Oncol 2020, 3, 424–432. https://doi.org/10.1016/j.euo.2020.06.003.",retained,
6,"Janisch, F.; Abufaraj, M.; Fajkovic, H.; et al. Current disease management of primary urethral carcinoma. Eur Urol Focus 2019, 5, 722–734. https://doi.org/10.1016/j.euf.2019.07.001.",retained,
7,"García-Perdomo, H.A.; Dávila-Raigoza, A.M.; Spiess, P.E. Urethral cancer management in contemporary practice: a review. Urol Oncol 2026, in press. https://doi.org/10.1016/j.urolonc.2026.04.006.",retained,
8,"Gakis, G.; Morgan, T.M.; Efstathiou, J.A.; et al. Prognostic factors and outcomes in primary urethral cancer: results from the international collaboration on primary urethral carcinoma. World J Urol 2016, 34, 97–103. https://doi.org/10.1007/s00345-015-1583-7.",retained,
9,"Mano, R.; Vertosick, E.A.; Sarcona, J.; et al. Primary urethral cancer: treatment patterns and associated outcomes. BJU Int 2020, 126, 359–366. https://doi.org/10.1111/bju.15095.",retained,
10,"Hopkins, B.D.; Qian, D.C.; Xu, K.M.; et al. Characteristics, treatment, and outcomes of primary urethral cancer: a multicenter review over two decades. Clin Genitourin Cancer 2025, 23, 102276. https://doi.org/10.1016/j.clgc.2024.102276.",retained,
