Variable,Category,"Overall, n (%)",n,percent
Sex,Male,1842 (69.8),1842,69.83
Sex,Female,796 (30.2),796,30.17
Age at diagnosis,18-59,510 (19.3),510,19.33
Age at diagnosis,60-69,622 (23.6),622,23.58
Age at diagnosis,70-79,782 (29.6),782,29.64
Age at diagnosis,80+,724 (27.4),724,27.45
Race/ethnicity,Non-Hispanic White,1833 (69.5),1833,69.48
Race/ethnicity,Non-Hispanic Black,418 (15.8),418,15.85
Race/ethnicity,Hispanic (All Races),229 (8.7),229,8.68
Race/ethnicity,Non-Hispanic Asian or Pacific Islander,144 (5.5),144,5.46
Race/ethnicity,Non-Hispanic American Indian/Alaska Native,13 (0.5),13,0.49
Race/ethnicity,Non-Hispanic Unknown Race,1 (0.0),1,0.04
Diagnosis period,2004-2013,1269 (48.1),1269,48.1
Diagnosis period,2014-2023,1369 (51.9),1369,51.9
Histology,Urothelial carcinoma,1363 (51.7),1363,51.67
Histology,Squamous cell carcinoma,660 (25.0),660,25.02
Histology,Adenocarcinoma,418 (15.8),418,15.85
Histology,Epithelial NOS,108 (4.1),108,4.09
Histology,Other epithelial carcinoma,89 (3.4),89,3.37
Summary stage,Localized,960 (36.4),960,36.39
Summary stage,Regional: direct extension,633 (24.0),633,24.0
Summary stage,Regional: nodes only,118 (4.5),118,4.47
Summary stage,Regional: extension + nodes,212 (8.0),212,8.04
Summary stage,Distant,526 (19.9),526,19.94
Summary stage,Unknown,189 (7.2),189,7.16
Marital status,Married (including common law),1502 (56.9),1502,56.94
Marital status,Single (never married),359 (13.6),359,13.61
Marital status,Widowed,336 (12.7),336,12.74
Marital status,Divorced,237 (9.0),237,8.98
Marital status,Separated,24 (0.9),24,0.91
Marital status,Unmarried or Domestic Partner,6 (0.2),6,0.23
Marital status,Unknown,174 (6.6),174,6.6
